OID_,GEOID10,p65plus,pNonWhite,pHisp,pNoHS,pUnemp,MedIncome,Name,Neighborho,Temp,pTotFlood,pPublicOpen,pPrivateOpen,pROW,pCanopyLCLU,SVI_F_TOTAL,Shape_Length,Shape_Area,n65plus,nNonWhite,nNoHS,nUnemp,nMedInc,nTemp,nTotFlood,nPublicOpen,nPrivateOpen,nCanopyLCLU,nTotSVI,nHisp
1,250251006031021,8.984375000000000,19.401041670000001,2.929687500000000,5.607476636000000,0.275229358000000,92396,Dorchester,6,90.793627936409436,0.537887596899225,0.308110865499065,0.077348823942426,0.093826794804283,0.144138362295945,0,3758.657849402824468,729207.856518382322975,0.137408088244994,0.194010416700000,0.094802662551420,0.004545071966639,0.395978244694384,0.366165851881294,0.537887596899225,0.316988342336058,0.084544396062505,0.144138362295945,0.000000000000000,0.035470692901188
2,250250303002025,14.607614610000001,21.600621600000000,4.584304584000000,11.874469890000000,17.176470590000001,107321,Downtown,7,91.937506103515631,1.000000000000000,0.000000000000000,0.000000000000000,0.322027716994894,0.000000000000000,3,876.435331150785942,43875.621458748122677,0.223410576404005,0.216006216000000,0.200755426198564,0.283648138162668,0.467623861710758,0.488805990921183,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.272727272727273,0.055503687702040
3,250250303002013,14.607614610000001,21.600621600000000,4.584304584000000,11.874469890000000,17.176470590000001,107321,Downtown,7,91.283118693033856,1.000000000000000,0.000000000000000,0.000000000000000,0.296376721677628,0.110497580344956,3,1332.461596656647089,64475.840236772019125,0.223410576404005,0.216006216000000,0.200755426198564,0.283648138162668,0.467623861710758,0.418646278711222,1.000000000000000,0.000000000000000,0.000000000000000,0.110497580344956,0.272727272727273,0.055503687702040
4,250250303001003,31.321444899999999,15.866483770000000,0.731595793000000,3.548728814000000,0.925925926000000,114911,Downtown,7,91.633033629386659,1.000000000000000,0.000000000000000,0.000000000000000,0.099584801207851,0.000000000000000,3,1448.343126430599341,63577.315734777243051,0.479033863210285,0.158664837700000,0.059996494337626,0.015290519877777,0.504058718203507,0.456162176540626,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.272727272727273,0.008857671578045
5,250259813002085,2.500000000000000,12.750000000000000,25.000000000000000,9.309309309000000,4.823151125000000,115893,East Boston,8,92.732913191600517,0.000000000000000,0.000000000000000,0.287614531425816,0.000000000000000,0.061043240636554,2,4901.549456281803032,199044.039890783751616,0.038235294120346,0.127500000000000,0.157387603426106,0.079648367195989,0.508772687778722,0.574085034337866,0.000000000000000,0.000000000000000,0.314370608611913,0.061043240636554,0.181818181818182,0.302683246090136
6,250250303002034,14.607614610000001,21.600621600000000,4.584304584000000,11.874469890000000,17.176470590000001,107321,Downtown,7,92.010583786737357,1.000000000000000,0.000000000000000,0.000000000000000,0.495117007554819,0.000000000000000,3,628.333726683519671,21703.220375167238672,0.223410576404005,0.216006216000000,0.200755426198564,0.283648138162668,0.467623861710758,0.496640966261002,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.272727272727273,0.055503687702040
7,250250305002003,10.721247560000000,9.941520468000000,3.411306043000000,0.716845878000000,5.753739931000000,111250,North End,14,91.505658802233242,0.000000000000000,0.000000000000000,0.000000000000000,0.230006609385327,0.037390236993674,2,924.446772119150296,42362.794230392122699,0.163972021517457,0.099415204680000,0.012119336786375,0.095015888761834,0.486484540387966,0.442505768925288,0.000000000000000,0.000000000000000,0.000000000000000,0.037390236993674,0.181818181818182,0.041301807460086
8,250250303003020,7.600793126000000,24.256444150000000,8.922670192000000,14.242115970000000,16.170212769999999,105625,Downtown,7,90.832647884593285,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,3,1098.539563920983710,17659.943053800201596,0.116247424288206,0.242564441500000,0.240783975033240,0.267031036549209,0.459482423421996,0.370349349746901,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.272727272727273,0.108029711100250
9,250250303003025,7.600793126000000,24.256444150000000,8.922670192000000,14.242115970000000,16.170212769999999,105625,Downtown,7,92.278194018772666,0.005265210608424,0.005135314995563,0.006075455381989,0.179514185301389,0.012239603543277,3,2448.209596744253304,360733.895723295572679,0.116247424288206,0.242564441500000,0.240783975033240,0.267031036549209,0.459482423421996,0.525332619803384,0.005265210608424,0.005283276800967,0.006640640153201,0.012239603543277,0.272727272727273,0.108029711100250
10,250251011022010,9.843260188000000,91.034482760000003,14.545454550000001,23.971915750000001,4.070556309000000,43929,Mattapan,12,91.310671599014952,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,8,923.753421588205924,23619.304336019689799,0.150543979356509,0.910344827600000,0.405280590019443,0.067220195923507,0.163318404162886,0.421600345252262,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.727272727272727,0.176106615962022
